"what,154
busting,154
droppin,154
plot,153
credit,153
dough,,153
hurry,153
hours,153
clan,153
walkin',153
allah,153
bear,152
guns,,152
rocked,152
tank,152
wealth,152
chuck,152
alone,,152
stomp,152
krs-one,152
kicking,152
hanging,152
pac,151
plain,151
anyone,151
"fuck,151
ma,,151
doo,151
feel,,151
(yeah,151
souls,151
promised,151
winter,151
are,,150
rid,150
dad,150
driving,150
mistake,150
falling,150
york,,150
quick,,150
crib,,150
mics,150
am,,150
priest,150
polo,150
fold,150
roll,,150
approach,150
watched,150
rich,,149
strong,,149
lap,149
poison,149
lovin,149
freaks,149
couch,149
became,148
st.,148
wax,148
shells,148
mi,148
freeze,148
buried,148
millions,148
vibe,148
hall,148
freaky,148
don't,,148
down),147
singing,147
havin',147
natural,147
shot,,147
girlfriend,147
al,147
wash,147
aight,147
spittin,147
baddest,147
captain,146
better,,146
chillin,146
eatin,146
toe,146
shoe,146
100,146
gods,146
years,,146
curse,146
field,146
visit,146
nigga),146
snake,146
muthafuckin',145
spots,145
peel,145
crying,145
(uh),145
sat,145
chevy,145
dawg,145
math,145
2x),145
addicted,145
whose,145
truly,145
usually,145
sellin',145
except,145
coat,145
ooh,,145
heat,,145
drove,145
blow,,145
ocean,145
leaves,145
milk,144
wearing,144
deck,144
using,144
bush,144
common,144
loaded,144
man!,144
ballin',144
pink,144
clouds,144
kane,143
gate,143
lip,143
tune,143
difference,143
bucks,143
ok,143
stood,143
ship,143
lie,,143
aiyo,,143
turns,143
james,142
sons,142
ripped,142
uh-huh,,142
station,142
town,,142
truth,,142
wisdom,142
prepared,142
sucka,142
month,142
song,,142
paul,141
motion,141
proper,141
friends,,141
degrees,141
watchin',141
trill,141
monster,141
d's,141
leg,141
married,141
faster,141
daddy,,141
(fuck,140
fronting,140
??,140
lover,140
panties,140
waist,140
terror,140
yeah..,140
man),140
monkey,140
figures,140
mami,140
j),140
beef,,140
prepare,140
blood,,140
(so,140
beside,140
sheets,140
cops,,140
workin,139
mail,139
thugs,,139
rope,139
damage,139
about,,139
beginning,139
righteous,139
cheddar,139
lack,138
devils,138
shell,138
kush,138
king,,138
chocolate,138
nerve,138
jail,,138
cum,138
pissed,138
verbal,138
layin,138
down!,137
(in,137
rappin',137
ashes,137
refuse,137
choice,137
inner,137
dedicated,137
yourself,,137
rick,137
rhyme,,136
rounds,136
christ,136
cadillac,136
goodbye,136
map,136
krs,136
robbed,136
beer,136
minute,,136
create,136
‘cause,136
props,136
forth,136
ll,136
wrapped,136
by,,135
calls,135
b,,135
destroy,135
pardon,135
lemme,135
laced,135
mines,135
stretch,135
seats,135
broke,,135
throwin,135
ohh,135
dealer,135
happens,135
homicide,135
drinks,134
biggie,134
tapes,134
trade,134
exactly,134
johnny,134
constantly,134
health,134
bud,134
hangin,134
el,134
hit,,134
pool,134
murdered,133
(x4),133
w/,133
skill,133
pit,133
bentley,133
bone,,133
desert,133
ad,133
gates,133
signed,133
group,133
30,133
peeps,133
post,133
nowadays,133
bother,133
leavin',133
slim,133
turning,133
buddy,133
kickin',133
regardless,133
glasses,133
deny,132
powder,132
danger,132
screen,132
know),132
hearing,132
bull,132
buck,,132
cold,,132
wrap,132
pullin,132
standin',132
demons,132
free,,132
hustlin,132
sisters,132
fellas,132
weekend,132
bastard,132
teacher,132
memory,131
practice,131
mistakes,131
callin',131
da,,131
sunday,131
county,131
physical,131
sky,,131
chopper,131
sea,131
keepin',131
positive,131
blacks,131
violent,131
shift,131
parents,131
chronic,130
forced,130
sippin',130
(oh),130
hittin',130
pistols,130
snap,130
stories,130
breeze,130
sink,130
go!,130
slow,,130
river,130
machine,130
faggot,130
flick,130
fault,130
socks,130
(hook),130
business,,129
philly,129
water,,129
private,129
mellow,129
booth,129
westside,129
study,129
cry,,129
sport,129
pimps,129
clubs,129
bum,129
focused,129
goose,129
questions,129
seein,129
curb,129
silence,129
showing,129
mobb,129
star,,129
fo,129
shakin,129
survival,129
leader,128
whoa,128
lungs,128
yell,128
guard,128
sam,128
spittin',128
concrete,128
ballin,128
praise,128
